DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20170417,180000,114.4600000,114.5300000,114.1200000,114.3300000,180100
20170417,190000,114.4600000,115.5100000,114.3400000,115.5100000,634000
20170418,110000,115.4900000,116.2500000,114.6500000,114.9200000,759700
20170418,120000,114.9200000,115.3000000,114.2900000,114.4300000,548100
20170418,130000,114.4200000,114.7100000,113.1500000,113.2100000,670100
20170418,140000,113.1600000,113.7400000,113.0000000,113.4900000,478400
20170418,150000,113.4900000,113.9200000,113.0600000,113.6400000,393800
20170418,160000,113.5700000,113.7500000,112.5600000,113.0200000,406300
20170418,170000,113.0500000,114.2400000,112.8600000,114.0300000,396100
20170418,180000,113.9400000,114.9000000,113.6500000,114.1900000,800700
20170418,190000,114.1800000,114.4800000,113.7000000,113.7000000,311000
20170419,110000,113.5500000,114.3500000,112.2500000,114.1000000,1117600
20170419,120000,114.1900000,114.4900000,113.5600000,114.1400000,202300
20170419,130000,114.1300000,114.7700000,114.0800000,114.4200000,268300
20170419,140000,114.4600000,114.9200000,114.2500000,114.4800000,187000
20170419,150000,114.6100000,114.6800000,113.8500000,113.9400000,338200
20170419,160000,113.8900000,114.3800000,113.6500000,113.8400000,266700
20170419,170000,113.9300000,114.3600000,113.7500000,113.9100000,408300
20170419,180000,113.9400000,114.1200000,112.5700000,112.6200000,873900
20170419,190000,112.6200000,113.0900000,112.5700000,112.9000000,341300
20170420,110000,112.5200000,112.8900000,111.6100000,111.6100000,715300
20170420,120000,111.6200000,113.2300000,111.4100000,113.1000000,378700
20170420,130000,113.0700000,113.3000000,112.5000000,113.0800000,343600
20170420,140000,113.0900000,113.1400000,112.1300000,112.5300000,526000
20170420,150000,112.4800000,113.8200000,111.8400000,113.4300000,2087400
20170420,160000,113.4300000,115.7100000,113.1900000,115.6100000,1698200
20170420,170000,115.6900000,116.0900000,114.8300000,114.9900000,1039700
20170420,180000,115.0000000,116.8900000,114.9100000,116.6200000,1275000
20170420,190000,116.6200000,117.6900000,116.6200000,117.4000000,1118900
20170421,110000,117.8800000,118.9000000,117.6600000,118.8500000,1281300
